ProbeID,Lower_bound,Upper_bound,Phase_class,P_value
1416205_at,4,8,20,0.765
1416206_at,8,12,20,0.456
1416207_at,0,4,20,0.55
1416208_at,0,20,20,0.42
1416209_at,3.6,20,20,0.608
1416210_at,12,12,3,0.407
1416211_a_at,0,20,20,0.575
1416212_at,4,4,1,0.195
1416213_x_at,16,16,4,0.074
1416214_at,20,20,5,0.734
1416215_at,0,4,20,0.521
1416216_at,4,4,1,0.139
1416217_a_at,16,20,20,0.081
1416218_x_at,0,0,0,0.297
1416219_at,12,16,20,0.753
1416220_at,12,12,3,0.104
1416221_at,0,20,20,0.848
1416222_at,4,4,1,0.181
1416223_at,8,12,20,0.474
1416224_at,8,20,20,0.414
1416225_at,16,16,4,0.294
1416226_at,4,8,20,0.444
1416227_at,0,4,20,0.249
1416228_at,12,12,3,0.098
1416229_at,20,20,5,0.196
1416230_at,20,20,5,0.509
1416231_at,16,16,4,0.332
1416232_at,12,16,20,0.855
1416233_at,16,16,4,0.168
1416234_at,16,16,4,0.666
1416235_at,16,16,4,0.682
1416236_a_at,16,16,4,0.623
1416237_at,12,16,20,0.225
1416238_at,16,20,20,0.483
1416239_at,12,16,20,0.478
1416240_at,8,12,20,0.098
1416241_at,16,20,20,0.636
1416242_at,8,12,20,0.518
1416243_a_at,16,16,4,0.28
1416244_a_at,0,0,0,0.034
1416245_at,20,20,5,0.296
1416246_a_at,4,4,1,0.778
1416247_at,12,12,3,0.728
1416248_at,16,16,4,0.421
1416249_at,16,16,4,0.109
1416250_at,8,12,20,0.802
1416251_at,16,20,20,0.501
1416252_at,16,20,20,0.387
1416253_at,8,12,20,0.536
1416254_a_at,4,8,20,0.445
1416255_at,12,16,20,0.394
1416256_a_at,20,20,5,0.049
1416257_at,0,0,0,0.266
1416258_at,16,16,4,0.196
1416259_at,0,4,20,0.618
1416260_a_at,0,0,0,0.594
1416261_at,20,20,5,0.409
1416262_at,20,20,5,0.097
1416263_at,4,8,20,0.779
1416264_at,20,20,5,0.263
1416265_at,4,8,20,0.579
1416266_at,0,20,20,0.568
1416267_at,20,20,5,0.521
1416268_at,12,16,20,0.505
1416269_at,12,12,3,0.419
1416270_at,4,4,1,0.024
1416271_at,4,8,20,0.122
1416272_at,4,8,20,0.162
1416273_at,20,20,5,0.098
1416274_at,8,12,20,0.689
1416275_at,16,20,20,0.096
1416276_a_at,12,16,20,0.746
1416277_a_at,0,4,20,0.983
1416278_a_at,16,16,4,0.155
1416279_at,16,20,20,0.614
1416280_at,4,12,20,0.394
1416281_at,8,8,2,0.312
1416282_at,8,8,2,0.261
1416283_at,16,20,20,0.472
1416284_at,12,12,3,0.294
1416285_at,0,4,20,0.095
1416286_at,8,8,2,0.793
1416287_at,0,4,20,0.677
1416288_at,12,12,3,0.08
1416289_at,8,12,20,0.269
1416290_a_at,0,4,20,0.313
1416291_at,20,20,5,0.25
1416292_at,12,12,3,0.241
1416293_at,8,12,20,0.245
1416294_at,16,16,4,0.224
1416295_a_at,0,4,20,0.155
1416296_at,4,4,1,0.475
1416297_s_at,4,12,20,0.483
1416298_at,4,12,20,0.879
1416299_at,20,20,5,0.112
1416300_a_at,16,16,4,0.527
1416301_a_at,8,12,20,0.169
1416302_at,0,20,20,0.779
1416303_at,0,0,0,0.057
1416304_at,20,20,5,0.184
1416305_at,4,4,1,0.376
1416306_at,16,16,4,0.493
1416307_at,0,4,20,0.512
